Date;isin;name;country;sec_curr;ICB_ind;ICB_ind_name;infocode
2017-09-18;GB00BYT1DJ19;INTERMEDIATE CAPITAL GRP;GB;GBP;8000.0;Financials;862
2017-09-18;CZ0008019106;KOMERCNI BANKA;CZ;CZK;8000.0;Financials;3063
2017-09-18;GB00B53P2009;JUPITER FUND MANAGEMENT;GB;GBP;8000.0;Financials;234474
2017-09-18;DE0007165631;SARTORIUS PREF.;DE;EUR;2000.0;Industrials;41237
2017-09-18;FR0000130213;LAGARDERE;FR;EUR;5000.0;Consumer Services;52473
2017-09-18;BE0003826436;TELENET GRP HLDG;BE;EUR;5000.0;Consumer Services;27421
2017-09-18;CH0009002962;BARRY CALLEBAUT;CH;CHF;3000.0;Consumer Goods;37912
2017-09-18;ES0124244E34;MAPFRE;ES;EUR;8000.0;Financials;47266
2017-09-18;GB00BZ6STL67;METRO BANK;GB;GBP;8000.0;Financials;288460
2017-09-18;IT0003796171;POSTE ITALIANE;IT;EUR;8000.0;Financials;285954
2017-09-18;GB0004161021;HAYS;GB;GBP;2000.0;Industrials;46002
2017-09-18;IM00B5VQMV65;GVC HOLDINGS;GB;GBP;5000.0;Consumer Services;22139
2017-09-18;DE000A12DM80;SCOUT24;DE;EUR;9000.0;Technology;285526
2017-09-18;GB00BD6GN030;CYBG PLC;GB;GBP;8000.0;Financials;287839
2017-09-18;IT0000072170;FINECOBANK;IT;EUR;8000.0;Financials;276875
2017-09-18;JE00B6T5S470;POLYMETAL INTERNATIONAL;GB;GBP;1000.0;Basic Materials;257068
2017-09-18;DE000A1J5RX9;TELEFONICA DEUTSCHLAND;DE;EUR;6000.0;Telecommunications;264179
2017-09-18;FR0000120222;CNP ASSURANCES;FR;EUR;8000.0;Financials;38146
2017-09-18;AT00BUWOG001;BUWOG;AT;EUR;8000.0;Financials;275411
2017-09-18;ES0105066007;CELLNEX TELECOM;ES;EUR;6000.0;Telecommunications;282470
2017-09-18;FR0010096479;BIOMERIEUX;FR;EUR;4000.0;Health Care;19285
2017-09-18;JE00BD9WR069;UBM;GB;GBP;5000.0;Consumer Services;45993
2017-09-18;DK0010287234;H. LUNDBECK;DK;DKK;4000.0;Health Care;39821
2017-09-18;NO0003053605;STOREBRAND;NO;NOK;8000.0;Financials;46999
2017-09-18;GB0005576813;HOWDEN JOINERY GRP;GB;GBP;2000.0;Industrials;35629
2017-09-18;GB00B2QPKJ12;FRESNILLO;GB;GBP;1000.0;Basic Materials;151811
2017-09-18;FR0000121725;DASSAULT AVIATION;FR;EUR;2000.0;Industrials;47814
2017-09-18;CH0038389992;BB BIOTECH;CH;CHF;4000.0;Health Care;24182
2017-09-18;GB0059822006;DIALOG SEMICON;DE;EUR;9000.0;Technology;13282
2017-09-18;GB00B1FP8915;BBA AVIATION;GB;GBP;2000.0;Industrials;45915
2017-09-18;DE0005773303;FRAPORT;DE;EUR;2000.0;Industrials;1761
