Date;isin;name;country;sec_curr;ICB_ind;ICB_ind_name;infocode
2004-03-22;ES0178174019;;ES;EUR;9000.0;Technology;86255
2004-03-22;IT0001464921;;IT;EUR;8000.0;Financials;0
2004-03-22;DE0006605009;;DE;EUR;2000.0;Industrials;39536
2004-03-22;FI0009000665;;FI;EUR;1000.0;Basic Materials;40977
2004-03-22;SE0000862997;;SE;SEK;1000.0;Basic Materials;9213
2004-03-22;IT0001465159;;IT;EUR;2000.0;Industrials;46768
2004-03-22;ES0161560018;;ES;EUR;5000.0;Consumer Services;49140
2004-03-22;NO0005668905;;NO;NOK;2000.0;Industrials;48099
2004-03-22;GB0001638955;;GB;GBP;5000.0;Consumer Services;22626
2004-03-22;GB0001421626;;GB;GBP;1000.0;Basic Materials;107989
2004-03-22;CH0012022494;;CH;CHF;2000.0;Industrials;47758
2004-03-22;GB0007981128;;GB;GBP;4000.0;Health Care;46521
2004-03-22;FR0000121121;;FR;EUR;8000.0;Financials;46767
2004-03-22;GB0004052071;;GB;GBP;2000.0;Industrials;46336
2004-03-22;GB0001921781;;GB;GBP;8000.0;Financials;91377
2004-03-22;FR0000045528;;FR;EUR;8000.0;Financials;41267
2004-03-22;FR0000034639;;FR;EUR;2000.0;Industrials;40480
2004-03-22;GB0001430023;;GB;GBP;;;46056
2004-03-22;GB0000319581;;GB;GBP;8000.0;Financials;48590
2004-03-22;ES0117160111;;ES;EUR;8000.0;Financials;47097
2004-03-22;FI0009000459;;FI;EUR;2000.0;Industrials;40861
2004-03-22;GB0003308607;;GB;GBP;2000.0;Industrials;48543
2004-03-22;ES0124244C36;;ES;EUR;8000.0;Financials;0
2004-03-22;GB0030738610;;GB;GBP;5000.0;Consumer Services;3956
2004-03-22;CH0002088976;;CH;CHF;5000.0;Consumer Services;47753
2004-03-22;IT0001469383;;IT;EUR;5000.0;Consumer Services;40184
2004-03-22;GB0009465807;;GB;GBP;2000.0;Industrials;45951
2004-03-22;GB0009380592;;GB;GBP;2000.0;Industrials;0
2004-03-22;DE0005128003;;DE;EUR;2000.0;Industrials;12964
2004-03-22;GB0001583078;;GB;GBP;5000.0;Consumer Services;88784
2004-03-22;GB0033029744;;GB;GBP;7000.0;Utilities;11780
2004-03-22;ES0184940817;;ES;EUR;4000.0;Health Care;44998
2004-03-22;ES0130960018;;ES;EUR;1.0;Oil & Gas;8863
2004-03-22;GB0002502812;;GB;GBP;3000.0;Consumer Goods;43567
2004-03-22;DE0007297004;;DE;EUR;3000.0;Consumer Goods;46919
2004-03-22;GB0031780900;;GB;GBP;;;0
2004-03-22;DK0010181759;;DK;DKK;3000.0;Consumer Goods;49093
2004-03-22;DE0006569908;;DE;EUR;8000.0;Financials;35534
2004-03-22;GB0001762680;;GB;GBP;2000.0;Industrials;107460
2004-03-22;FI0009000285;;FI;EUR;3000.0;Consumer Goods;48187
2004-03-22;FR0000125684;;FR;EUR;2000.0;Industrials;49067
2004-03-22;SE0000171100;;SE;SEK;1000.0;Basic Materials;35419
2004-03-22;GB0031638363;;GB;GBP;2000.0;Industrials;9259
2004-03-22;GB0004146675;;GB;GBP;5000.0;Consumer Services;0
2004-03-22;GB0002685302;;GB;GBP;5000.0;Consumer Services;0
2004-03-22;GB0003294591;;GB;GBP;2000.0;Industrials;46372
2004-03-22;FI0009002422;;FI;EUR;1000.0;Basic Materials;35473
2004-03-22;FR0000130304;;FR;EUR;8000.0;Financials;33823
2004-03-22;DE0007765638;;DE;EUR;3000.0;Consumer Goods;48086
2004-03-22;IE0004554287;;IE;EUR;3000.0;Consumer Goods;153561
2004-03-22;NL0000343135;;NL;EUR;2000.0;Industrials;46927
2004-03-22;IE0002424939;;IE;EUR;2000.0;Industrials;860
2004-03-22;ES0113980330;;ES;EUR;8000.0;Financials;35717
2004-03-22;ES0171743117;;ES;EUR;5000.0;Consumer Services;18361
2004-03-22;NL0000200889;;FR;EUR;9000.0;Technology;125528
2004-03-22;DE0008400029;;DE;EUR;8000.0;Financials;40326
2004-03-22;SE0000695876;;SE;SEK;2000.0;Industrials;7353
2004-03-22;DK0010287234;;DK;DKK;4000.0;Health Care;39821
2004-03-22;GB0004246996;;GB;GBP;6000.0;Telecommunications;0
2004-03-22;AT0000937503;;AT;EUR;1000.0;Basic Materials;22867
2004-03-22;GRS074083007;;GR;EUR;2000.0;Industrials;40316
2004-03-22;SE0000110165;;SE;SEK;8000.0;Financials;35395
2004-03-22;GB0009165613;;GB;GBP;9000.0;Technology;21301
2004-03-22;FR0000120966;;FR;EUR;3000.0;Consumer Goods;47312
2004-03-22;FI0009000202;;FI;EUR;5000.0;Consumer Services;40968
2004-03-22;SE0000114837;;SE;SEK;3000.0;Consumer Goods;40055
