Date;isin;name;country;sec_curr;ICB_ind;ICB_ind_name;infocode
2004-03-22;IT0001119087;;IT;EUR;3000.0;Consumer Goods;270882
2004-03-22;SE0000104416;;SE;SEK;2000.0;Industrials;75318
2004-03-22;GB0003872420;;GB;GBP;5000.0;Consumer Services;0
2004-03-22;GRS004013009;;GR;EUR;8000.0;Financials;41477
2004-03-22;IT0001233417;;IT;EUR;7000.0;Utilities;38079
2004-03-22;IT0001453924;;IT;EUR;9000.0;Technology;12993
2004-03-22;DE0005785638;;DE;EUR;4000.0;Health Care;40165
2004-03-22;DE0007771172;;DE;EUR;5000.0;Consumer Services;45781
2004-03-22;SE0000164477;;SE;SEK;4000.0;Health Care;90537
2004-03-22;CH0000816824;;CH;CHF;2000.0;Industrials;47794
2004-03-22;FR0000121204;;FR;EUR;8000.0;Financials;46938
2004-03-22;ES0112501012;;ES;EUR;3000.0;Consumer Goods;35723
2004-03-22;PTCPR0AM0003;;PT;EUR;2000.0;Industrials;3236
2004-03-22;GB0005203376;;GB;GBP;8000.0;Financials;48564
2004-03-22;GB0005758098;;GB;GBP;2000.0;Industrials;46317
2004-03-22;CH0012280076;;CH;CHF;4000.0;Health Care;36599
2004-03-22;GB0002303468;;GB;GBP;5000.0;Consumer Services;46482
2004-03-22;IT0003039010;;IT;EUR;5000.0;Consumer Services;43862
2004-03-22;GB0000996008;;GB;GBP;8000.0;Financials;0
2004-03-22;GB0000456144;;GB;GBP;1000.0;Basic Materials;46829
2004-03-22;DE0005753008;;DE;EUR;1000.0;Basic Materials;13285
2004-03-22;GB0008218694;;GB;GBP;5000.0;Consumer Services;76241
2004-03-22;GB0002572716;;GB;GBP;2000.0;Industrials;0
2004-03-22;CH0014786500;;CH;CHF;8000.0;Financials;45352
2004-03-22;FI0009007835;;FI;EUR;2000.0;Industrials;35607
2004-03-22;IE0004614818;;IE;EUR;5000.0;Consumer Services;46386
2004-03-22;FR0000077919;;FR;EUR;5000.0;Consumer Services;9403
2004-03-22;NO0003053605;;NO;NOK;8000.0;Financials;46999
2004-03-22;CH0010570759;;CH;CHF;3000.0;Consumer Goods;49011
2004-03-22;GB0002266681;;GB;GBP;7000.0;Utilities;0
2004-03-22;IE0031844511;;IE;EUR;2000.0;Industrials;0
2004-03-22;GB0031773103;;GB;GBP;8000.0;Financials;0
2004-03-22;NL0000354934;;NL;EUR;9000.0;Technology;46724
2004-03-22;DE0007251803;;DE;EUR;4000.0;Health Care;37214
2004-03-22;CH0012337421;;CH;CHF;9000.0;Technology;42179
2004-03-22;IT0001423562;;IT;EUR;6000.0;Telecommunications;18214
2004-03-22;GB0000710060;;GB;GBP;8000.0;Financials;0
2004-03-22;DK0010262674;;DK;DKK;4000.0;Health Care;48053
2004-03-22;GB0033126615;;GB;GBP;7000.0;Utilities;149149
2004-03-22;FR0000121964;;FR;EUR;;;41285
2004-03-22;GB0003318416;;GB;GBP;2000.0;Industrials;46202
2004-03-22;NL0000355923;;NL;EUR;9000.0;Technology;0
2004-03-22;ES0184933812;;ES;EUR;2000.0;Industrials;40203
2004-03-22;SE0000718017;;SE;SEK;5000.0;Consumer Services;10649
2004-03-22;IT0000082963;;IT;EUR;8000.0;Financials;101772
2004-03-22;CH0002173752;;CH;CHF;8000.0;Financials;0
2004-03-22;NL0000344265;;NL;EUR;3000.0;Consumer Goods;47707
2004-03-22;GB0005145239;;GB;GBP;2000.0;Industrials;107421
2004-03-22;GB0031852618;;GB;GBP;2000.0;Industrials;0
2004-03-22;GB0006466089;;GB;GBP;3000.0;Consumer Goods;45962
2004-03-22;SE0000500308;;SE;SEK;;;100258
2004-03-22;GB0004564430;;GB;GBP;8000.0;Financials;862
2004-03-22;IT0000072725;;IT;EUR;2000.0;Industrials;47735
2004-03-22;DK0010259530;;DK;DKK;8000.0;Financials;39892
2004-03-22;FR0000120685;;FR;EUR;8000.0;Financials;46946
2004-03-22;ES0143416016;;ES;EUR;2000.0;Industrials;0
2004-03-22;FR0000125379;;FR;EUR;2000.0;Industrials;40143
2004-03-22;NL0000390979;;NL;EUR;5000.0;Consumer Services;80363
2004-03-22;DK0010272632;;DK;DKK;4000.0;Health Care;104082
2004-03-22;GB0031800955;;GB;GBP;7000.0;Utilities;0
2004-03-22;GB0006215205;;GB;GBP;5000.0;Consumer Services;22638
2004-03-22;ES0125220311;;ES;EUR;2000.0;Industrials;40130
2004-03-22;IT0003152417;;IT;EUR;7000.0;Utilities;40932
2004-03-22;ES0173093115;;ES;EUR;7000.0;Utilities;36403
2004-03-22;GB0002405495;;GB;GBP;8000.0;Financials;46033
2004-03-22;CH0013914103;;CH;CHF;2000.0;Industrials;0
2004-03-22;FR0000120560;;FR;EUR;9000.0;Technology;39325
2004-03-22;NL0000360584;;NL;EUR;1.0;Oil & Gas;0
2004-03-22;BE0003626372;;BE;EUR;1000.0;Basic Materials;46957
2004-03-22;CH0001441580;;CH;CHF;4000.0;Health Care;24182
2004-03-22;GB0000154020;;GB;GBP;2000.0;Industrials;84228
2004-03-22;AT0000809058;;AT;EUR;;;42144
2004-03-22;GB0001915395;;GB;GBP;5000.0;Consumer Services;46328
2004-03-22;GRS006013007;;GR;EUR;8000.0;Financials;41478
2004-03-22;IT0001137345;;IT;EUR;5000.0;Consumer Services;45379
2004-03-22;DE0006602006;;DE;EUR;1000.0;Basic Materials;46903
2004-03-22;GB0000282623;;GB;GBP;2000.0;Industrials;46072
2004-03-22;GB0000904986;;GB;GBP;3000.0;Consumer Goods;46114
2004-03-22;FR0000121881;;FR;EUR;5000.0;Consumer Services;47834
2004-03-22;GB0005576813;;GB;GBP;3000.0;Consumer Goods;35629
2004-03-22;ES0118594417;;ES;EUR;9000.0;Technology;40255
2004-03-22;FI0009007694;;FI;EUR;5000.0;Consumer Services;40980
2004-03-22;NL0000379121;;NL;EUR;2000.0;Industrials;35518
2004-03-22;GB0031575722;;GB;GBP;5000.0;Consumer Services;9255
